"","DEGREE CENTRALITY","BETWEENNESS CENTRALITY","ClOSENESS CENTRALITY","EIGENVECTGOR CENTRALITY"
"1000000408",1,0,9.0261562664135e-08,0.0199196920414309
"1000000409",1,0,9.0261562664135e-08,0.0199196920414309
"1000000410",1,0,9.0261562664135e-08,0.0199196920414309
"1000000411",1,0,9.0261562664135e-08,0.0199196920414309
"1000000412",1,0,9.0261562664135e-08,0.0199196920414309
"1000000413",2,0,9.0261562664135e-08,0.0199275991958372
"1000000414",1,0,9.0261562664135e-08,0.0199196920414309
"1000000415",1,0,9.0261562664135e-08,0.000397109272282679
"1000000416",1,0,9.0261562664135e-08,0.000397109272282679
"1000000417",1,0,9.0261562664135e-08,0.0199196920414309
"1000000418",2,0,9.0261562664135e-08,0.0199275991958372
"1000000419",1,0,9.0261562664135e-08,0.0199196920414309
"1000000420",1,0,9.0261562664135e-08,0.0199196920414309
"1000000421",1,0,9.0261562664135e-08,0.0199196920414309
"1000000422",1,0,9.0261562664135e-08,0.000396951639106142
"1000000423",1,0,9.0261562664135e-08,0.0199196920414309
"1000000424",1,0,9.0261562664135e-08,0.0199196920414309
"1000000425",1,0,9.0261562664135e-08,0.0199196920414309
"1000000426",1,0,9.0261562664135e-08,0.0199196920414309
"1000000427",1,0,9.0261562664135e-08,0.0199196920414309
"1000000428",1,0,9.0261562664135e-08,0.0199196920414309
"1000000429",1,0,9.0261562664135e-08,0.0199196920414309
"1000000430",1,0,9.0261562664135e-08,0.0199196920414309
"1000000431",1,0,9.0261562664135e-08,0.0199196920414309
"1000000432",1,0,9.0261562664135e-08,0.0199196920414309
"1000000433",1,0,9.0261562664135e-08,0.0199196920414309
"1000000434",1,0,9.0261562664135e-08,0.0199196920414309
"1000000435",1,0,9.0261562664135e-08,0.0199196920414309
"1000000436",1,0,9.0261562664135e-08,0.000396951639106142
"1000000437",1,0,9.0261562664135e-08,0.0199196920414309
"1000000438",2,0,9.0261562664135e-08,0.0199275991958372
"1000000439",4,0,9.0261562664135e-08,0.0199434323521604
"1000000440",1,0,9.0261562664135e-08,0.0199196920414309
"1000000441",2,0,9.0261562664135e-08,0.0199275991958372
"1000000442",1,0,9.0261562664135e-08,0.00039742497721702
"1000000443",5,0,9.0261562664135e-08,0.0199513615165545
"1000000444",1,0,9.0261562664135e-08,0.0199196920414309
"1000000445",1,0,9.0261562664135e-08,0.0199196920414309
"1000000446",1,0,9.0261562664135e-08,0.0199196920414309
"1000000447",1,0,9.0261562664135e-08,0.00039742497721702
"1000000448",1,0,9.0261562664135e-08,0.0199196920414309
"1000000449",1,0,9.0261562664135e-08,0.0199196920414309
"1000000450",1,0,9.0261562664135e-08,0.0199196920414309
"1000000451",1,0,9.0261562664135e-08,0.0199196920414309
"1000000452",1,0,9.0261562664135e-08,0.0199196920414309
"1000000453",1,0,9.0261562664135e-08,0.0199196920414309
"1000000454",1,0,9.0261562664135e-08,0.0199196920414309
"1000000455",1,0,9.0261562664135e-08,0.0199196920414309
"1000000456",1,0,9.0261562664135e-08,0.0199196920414309
"1000000457",1,0,9.0261562664135e-08,0.0199196920414309
"1000000458",1,0,9.0261562664135e-08,0.0199196920414309
"1000000459",1,0,9.0261562664135e-08,0.0199196920414309
"1000000460",1,0,9.0261562664135e-08,0.0199196920414309
